Vancouver Canucks	1978	17	Ron Sedlbauer	LW	23	6-3	195	L/-	3	October 22, 1954	0 G, 0 A, 0 P
Vancouver Canucks	1978	27	Harold Snepsts	D	23	6-3	210	L/-	3	October 24, 1954	29 G, 37 A, 66 P
Pittsburgh Penguins	2014	27	Craig Adams	RW	36	6-0	197	R/-	12	April 26, 1977	3 G, 5 A, 8 P
Pittsburgh Penguins	2014	19	Beau Bennett	RW	22	6-2	207	R/-	1	November 27, 1991	1 G, 2 A, 3 P
Pittsburgh Penguins	2014	41	Robert Bortuzzo	D	24	6-4	215	R/-	2	March 18, 1989	0 G, 5 A, 5 P
Pittsburgh Penguins	2014	23	Chris Conner	RW	30	5-8	180	L/-	7	December 23, 1983	4 G, 1 A, 5 P
Pittsburgh Penguins	2014	87	Sidney Crosby	C	26	5-11	200	L/-	8	August 7, 1987	28 G, 50 A, 78 P
Pittsburgh Penguins	2014	22	Matt D'Agostini	RW	27	6-0	198	R/-	6	October 23, 1986	0 G, 1 A, 1 P
Pittsburgh Penguins	2014	47	Simon Despres	D	22	6-4	214	L/-	2	July 27, 1991	0 G, 4 A, 4 P
Pittsburgh Penguins	2014	40	Nick Drazenovic	C	27	6-0	192	L/-	2	January 14, 1987	0 G, 0 A, 0 P
Pittsburgh Penguins	2014	8	Brian Dumoulin	D	22	6-4	219	-/-	R	September 6, 1991	0 G, 1 A, 1 P
Pittsburgh Penguins	2014	9	Pascal Dupuis	LW	34	6-1	205	L/-	12	April 7, 1979	7 G, 13 A, 20 P
Pittsburgh Penguins	2014	25	Andrew Ebbett	C	31	5-9	174	L/-	6	January 2, 1983	0 G, 1 A, 1 P
Pittsburgh Penguins	2014	5	Deryk Engelland	D	31	6-2	202	R/-	4	April 5, 1982	4 G, 5 A, 9 P
Pittsburgh Penguins	2014	29	Marc-Andre Fleury	G	29	6-2	180	-/L	9	November 28, 1984	4 G, 5 A, 9 P
Pittsburgh Penguins	2014	49	Brian Gibbons	C	25	5-8	170	-/-	R	February 26, 1988	4 G, 7 A, 11 P
Pittsburgh Penguins	2014	15	Tanner Glass	LW	30	6-1	210	L/-	6	November 29, 1983	0 G, 1 A, 1 P
Pittsburgh Penguins	2014	17	Dustin Jeffrey	C	25	6-1	205	L/-	5	February 27, 1988	16 G, 26 A, 42 P
Pittsburgh Penguins	2014	36	Jussi Jokinen	LW	30	5-11	198	L/-	8	April 1, 1983	2 G, 0 A, 2 P
Pittsburgh Penguins	2014	12	Chuck Kobasew	RW	31	6-0	192	R/-	10	April 17, 1982	27 G, 28 A, 55 P
Pittsburgh Penguins	2014	14	Chris Kunitz	LW	34	6-0	193	L/-	9	September 26, 1979	10 G, 8 A, 18 P
Pittsburgh Penguins	2014	58	Kris Letang	D	26	6-0	201	R/-	7	April 24, 1987	0 G, 0 A, 0 P
Pittsburgh Penguins	2014	32	Pierre-Luc Letourneau-Leblond	RW	28	6-2	210	L/-	4	June 4, 1985	6 G, 17 A, 23 P
Pittsburgh Penguins	2014	3	Olli Maatta	D	19	6-2	206	-/-	R	August 22, 1994	18 G, 40 A, 58 P
Pittsburgh Penguins	2014	71	Evgeni Malkin	C	27	6-3	195	L/-	7	July 31, 1986	2 G, 10 A, 12 P
Pittsburgh Penguins	2014	7	Paul Martin	D	32	6-1	200	L/-	9	March 5, 1981	4 G, 3 A, 7 P
Pittsburgh Penguins	2014	59	Jayson Megna	C	23	6-1	195	-/-	R	February 1, 1990	20 G, 25 A, 45 P
Pittsburgh Penguins	2014	18	James Neal	LW	26	6-2	208	L/-	5	September 3, 1987	7 G, 27 A, 34 P
Pittsburgh Penguins	2014	2	Matt Niskanen	D	27	6-0	209	R/-	6	December 6, 1986	1 G, 11 A, 12 P
Pittsburgh Penguins	2014	44	Brooks Orpik	D	33	6-2	219	L/-	10	September 26, 1980	2 G, 0 A, 2 P
Pittsburgh Penguins	2014	17	Taylor Pyatt	LW	32	6-4	230	L/-	12	August 19, 1981	0 G, 0 A, 0 P
Pittsburgh Penguins	2014	55	Philip Samuelsson	D	22	6-2	194	-/-	R	July 26, 1991	0 G, 2 A, 2 P
Pittsburgh Penguins	2014	4	Rob Scuderi	D	35	6-1	219	L/-	9	December 30, 1978	0 G, 0 A, 0 P
Pittsburgh Penguins	2014	38	Zach Sill	C	25	6-0	202	-/-	R	May 24, 1988	9 G, 10 A, 19 P
Pittsburgh Penguins	2014	16	Brandon Sutter	C	24	6-3	183	R/-	5	February 14, 1989	1 G, 12 A, 13 P
Pittsburgh Penguins	2014	46	Joe Vitale	C	28	5-11	205	R/-	3	August 20, 1985	2 G, 0 A, 2 P
Mighty Ducks of Anaheim	1994	26	Robin Bawa	RW	27	6-2	214	R/-	3	March 26, 1966	0 G, 1 A, 1 P
Mighty Ducks of Anaheim	1994	43	Maxim Bets	RW	20	6-1	185	L/-	R	January 31, 1974	0 G, 0 A, 0 P
Mighty Ducks of Anaheim	1994	21	Patrik Carnback	C	25	6-0	187	L/-	1	February 1, 1968	12 G, 11 A, 23 P
Mighty Ducks of Anaheim	1994	20	Bob Corkum	C	26	6-2	225	R/-	3	December 18, 1967	23 G, 28 A, 51 P
Mighty Ducks of Anaheim	1994	2	Bobby Dollas	D	29	6-2	212	L/-	8	January 31, 1965	9 G, 11 A, 20 P
Mighty Ducks of Anaheim	1994	16	Peter Douris	RW	27	6-1	195	R/-	7	February 19, 1966	12 G, 22 A, 34 P
